name,code,mm,dd,hh,cover,t2C,ustar,G-rh2m,L-rh,L-vpd,PARsun,PARshd,G45-O3,G3-O3,CO3ppb,CO3nmole,FstO3,fphen,f_L,f_T,f_D,fenv,gsto,fsun,gsun
CH02_Payerne,CF,8,1,0,0.0468,12.42,0.84,0.941,0.937,0.091,0.0,0.0,31.79,31.45,32.21,1.311E+03,0.000E+00,0.80,-1.00,-1.00,-1.00,0.00,0.000,-1.000,0.000
CH02_Payerne,CF,8,1,1,0.0468,12.42,0.84,0.941,0.937,0.091,0.0,0.0,30.89,30.55,31.29,1.274E+03,0.000E+00,0.80,-1.00,-1.00,-1.00,0.00,0.000,-1.000,0.000
CH02_Payerne,CF,8,1,2,0.0468,12.42,0.84,0.941,0.937,0.091,0.0,0.0,29.91,29.58,30.30,1.234E+03,0.000E+00,0.80,-1.00,-1.00,-1.00,0.00,0.000,-1.000,0.000
CH02_Payerne,CF,8,1,3,0.0468,12.42,0.86,0.941,0.939,0.089,0.0,0.0,29.55,29.28,29.96,1.220E+03,0.000E+00,0.80,-1.00,-1.00,-1.00,0.00,0.000,-1.000,0.000
CH02_Payerne,CF,8,1,4,0.0468,12.36,0.86,0.935,0.929,0.103,0.0,0.0,29.91,29.63,30.32,1.236E+03,0.000E+00,0.80,-1.00,-1.00,-1.00,0.00,0.000,-1.000,0.000
CH02_Payerne,CF,8,1,5,0.0468,12.29,0.86,0.928,0.919,0.116,22.8,1.3,27.08,26.04,23.97,9.774E+02,1.982E+02,888.00,0.01,0.90,1.00,8.08,0.027,0.128,0.339
CH02_Payerne,CF,8,1,6,0.0468,12.23,1.46,0.921,0.917,0.119,439.7,29.5,17.82,20.43,18.95,7.733E+02,1.561E+02,888.00,0.22,0.90,1.00,176.39,0.586,0.929,2.457
CH02_Payerne,CF,8,1,7,0.0468,13.13,1.10,0.846,0.833,0.253,661.7,48.4,17.98,18.49,17.57,7.155E+02,8.648E+01,888.00,0.35,0.93,1.00,290.30,0.967,0.981,2.691
CH02_Payerne,CF,8,1,8,0.0468,14.04,1.28,0.772,0.752,0.399,773.4,59.7,17.64,19.16,18.23,7.409E+02,7.956E+01,888.00,0.44,0.95,1.00,367.73,1.229,0.990,2.797
CH02_Payerne,CF,8,1,9,0.0468,14.94,1.57,0.697,0.679,0.549,861.2,68.5,16.54,19.89,18.95,7.685E+02,8.051E+01,888.00,0.50,0.97,0.98,420.58,1.410,0.994,2.825
