jd,mm,dd,hh,t2C,ustar,G-rh2m,PARsun,PARshd,G3-O3,Prec.
1,1,1,0,-16.08,0.10,0.823,0.0,0.0,41.07,0.003
1,1,1,1,-16.08,0.10,0.823,0.0,0.0,40.22,0.003
1,1,1,2,-16.08,0.10,0.823,0.0,0.0,39.66,0.003
1,1,1,3,-16.08,0.10,0.823,0.0,0.0,39.35,0.000
1,1,1,4,-16.45,0.10,0.823,0.0,0.0,39.26,0.000
1,1,1,5,-16.82,0.10,0.822,0.0,0.0,39.33,0.000
1,1,1,6,-17.19,0.10,0.822,0.0,0.0,39.51,0.002
1,1,1,7,-16.58,0.10,0.801,0.0,0.0,39.68,0.002
1,1,1,8,-15.97,0.10,0.780,490.3,24.5,39.82,0.002
1,1,1,9,-15.36,0.10,0.759,315.0,17.6,40.01,0.000
1,1,1,10,-13.68,0.10,0.684,357.4,21.2,40.42,0.000
1,1,1,11,-12.00,0.10,0.609,372.3,22.6,40.63,0.000
1,1,1,12,-10.31,0.10,0.533,956.7,57.8,40.33,0.000
1,1,1,13,-10.47,0.10,0.525,907.7,53.3,39.71,0.000
1,1,1,14,-10.64,0.10,0.516,775.3,42.6,38.86,0.000
1,1,1,15,-10.80,0.11,0.508,374.8,18.1,37.79,0.000
1,1,1,16,-11.98,0.10,0.538,0.0,0.0,36.88,0.000
1,1,1,17,-13.17,0.10,0.569,0.0,0.0,36.50,0.000
1,1,1,18,-14.35,0.10,0.599,0.0,0.0,36.42,0.000
1,1,1,19,-15.52,0.10,0.650,0.0,0.0,36.97,0.000
1,1,1,20,-16.68,0.10,0.701,0.0,0.0,38.03,0.000
1,1,1,21,-17.85,0.12,0.752,0.0,0.0,39.39,0.000
1,1,1,22,-18.34,0.12,0.766,0.0,0.0,40.85,0.000
1,1,1,23,-18.83,0.13,0.780,0.0,0.0,42.28,0.000
2,1,2,0,-19.32,0.13,0.794,0.0,0.0,43.56,0.000
2,1,2,1,-19.78,0.13,0.775,0.0,0.0,44.78,0.000
2,1,2,2,-20.24,0.13,0.756,0.0,0.0,45.85,0.000
2,1,2,3,-20.70,0.14,0.737,0.0,0.0,46.71,0.000
2,1,2,4,-20.91,0.13,0.742,0.0,0.0,47.28,0.000
2,1,2,5,-21.12,0.13,0.746,0.0,0.0,47.55,0.000
2,1,2,6,-21.33,0.13,0.750,0.0,0.0,47.45,0.000
2,1,2,7,-20.25,0.15,0.734,0.0,0.0,47.04,0.000
2,1,2,8,-19.17,0.17,0.717,506.3,25.3,46.21,0.000
2,1,2,9,-18.09,0.21,0.700,817.3,45.7,45.45,0.000
2,1,2,10,-15.56,0.21,0.600,926.4,54.9,44.03,0.000
2,1,2,11,-13.03,0.21,0.500,965.1,58.5,42.37,0.000
2,1,2,12,-10.50,0.20,0.400,961.1,58.1,40.25,0.004
2,1,2,13,-11.41,0.23,0.485,912.9,53.7,37.99,0.004
2,1,2,14,-12.31,0.25,0.570,782.8,43.1,35.57,0.004
2,1,2,15,-13.22,0.27,0.656,355.0,17.2,32.98,0.006
2,1,2,16,-14.15,0.28,0.697,0.0,0.0,30.93,0.006
2,1,2,17,-15.07,0.29,0.738,0.0,0.0,29.91,0.006
2,1,2,18,-16.00,0.31,0.779,0.0,0.0,29.60,0.016
2,1,2,19,-15.58,0.32,0.784,0.0,0.0,29.65,0.016
2,1,2,20,-15.17,0.33,0.788,0.0,0.0,29.89,0.016
2,1,2,21,-14.75,0.34,0.792,0.0,0.0,30.18,0.022
2,1,2,22,-14.56,0.33,0.789,0.0,0.0,30.90,0.022
2,1,2,23,-14.37,0.33,0.787,0.0,0.0,31.74,0.022
3,1,3,0,-14.17,0.33,0.784,0.0,0.0,32.49,0.010
3,1,3,1,-14.61,0.34,0.787,0.0,0.0,33.04,0.010
3,1,3,2,-15.04,0.35,0.791,0.0,0.0,33.53,0.010
3,1,3,3,-15.48,0.36,0.795,0.0,0.0,34.00,0.001
3,1,3,4,-15.64,0.36,0.800,0.0,0.0,34.48,0.001
3,1,3,5,-15.81,0.37,0.804,0.0,0.0,34.90,0.001
3,1,3,6,-15.97,0.38,0.808,0.0,0.0,35.21,0.002
3,1,3,7,-14.63,0.38,0.793,0.0,0.0,35.53,0.002
3,1,3,8,-13.28,0.39,0.777,404.4,20.2,36.00,0.002
3,1,3,9,-11.94,0.39,0.762,819.3,45.9,36.45,0.003
3,1,3,10,-10.69,0.40,0.733,927.8,55.0,39.60,0.003
3,1,3,11,-9.43,0.40,0.705,966.4,58.6,40.94,0.003
3,1,3,12,-8.18,0.41,0.676,914.5,55.4,41.72,0.005
3,1,3,13,-9.20,0.41,0.711,869.4,51.2,41.81,0.005
3,1,3,14,-10.21,0.42,0.747,748.0,41.3,41.44,0.005
3,1,3,15,-11.23,0.42,0.782,401.7,19.5,40.22,0.004
3,1,3,16,-11.67,0.42,0.802,0.0,0.0,39.13,0.004
3,1,3,17,-12.11,0.42,0.822,0.0,0.0,38.62,0.004
3,1,3,18,-12.55,0.42,0.841,0.0,0.0,38.07,0.011
